epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3932,2.48839,2.69713,1.08083,0.63736,0.5889,0.64881,0.28781,2.03689,1.78839,0.96026,0.000553646,0.000553646,0.000553646
2,158.629,2.0134,1.48598,0.93295,0.6247,0.64003,0.69266,0.29812,1.99669,1.52051,0.92218,0.00108735,0.00108735,0.00108735
3,233.588,1.93958,1.2534,0.91403,0.75951,0.74443,0.83164,0.40539,1.8417,1.14529,0.89708,0.00159905,0.00159905,0.00159905
4,307.329,1.88024,1.16097,0.90477,0.80747,0.79392,0.87557,0.44633,1.72863,1.00222,0.88498,0.00156798,0.00156798,0.00156798
5,380.88,1.83897,1.09624,0.89349,0.82321,0.77481,0.86672,0.43492,1.75315,1.01551,0.88515,0.00153497,0.00153497,0.00153497
6,453.97,1.78321,1.04472,0.88927,0.80953,0.8099,0.894,0.44791,1.74399,0.96992,0.88406,0.00150197,0.00150197,0.00150197
7,528.168,1.76767,1.00962,0.88094,0.80568,0.84616,0.905,0.463,1.73174,0.96128,0.87864,0.00146896,0.00146896,0.00146896
8,601.528,1.73655,0.96271,0.87569,0.81996,0.84228,0.91766,0.4889,1.63988,0.88144,0.8661,0.00143595,0.00143595,0.00143595
9,673.859,1.70865,0.94467,0.86912,0.84254,0.89298,0.94009,0.50018,1.63342,0.83476,0.86668,0.00140295,0.00140295,0.00140295
10,746.628,1.72228,0.92691,0.87275,0.86193,0.84749,0.93283,0.49948,1.63029,0.84337,0.86717,0.00136994,0.00136994,0.00136994
11,820.118,1.67658,0.9017,0.86731,0.84552,0.88358,0.93149,0.50579,1.62526,0.83201,0.86417,0.00133693,0.00133693,0.00133693
12,894.413,1.68212,0.90289,0.86739,0.83793,0.90727,0.94488,0.51308,1.60424,0.81161,0.86188,0.00130393,0.00130393,0.00130393
13,967.647,1.64591,0.87275,0.86056,0.85053,0.88964,0.93804,0.51476,1.59641,0.79589,0.8561,0.00127092,0.00127092,0.00127092
14,1040.61,1.64559,0.85605,0.86106,0.84285,0.89118,0.93588,0.50406,1.58814,0.81546,0.86,0.00123791,0.00123791,0.00123791
15,1114.85,1.63932,0.86007,0.86035,0.85072,0.90227,0.94727,0.52322,1.59976,0.79506,0.85499,0.00120491,0.00120491,0.00120491
