epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.772,1.95623,2.17545,1.60659,0.7126,0.70544,0.77612,0.33016,1.88699,1.69078,1.53869,0.000553789,0.000553789,0.000553789
2,284.364,1.83379,1.46666,1.4932,0.74594,0.715,0.74973,0.31158,1.98976,1.5169,1.60115,0.00108749,0.00108749,0.00108749
3,425.064,1.80708,1.33401,1.48158,0.66246,0.57658,0.5978,0.24032,2.22629,1.57922,1.71871,0.00159918,0.00159918,0.00159918
4,568.168,1.79502,1.28191,1.47527,0.80019,0.71712,0.7812,0.34944,1.88708,1.21979,1.5339,0.00156798,0.00156798,0.00156798
5,711.816,1.77441,1.22746,1.46795,0.84318,0.74126,0.83752,0.36833,1.91476,1.15303,1.52351,0.00153497,0.00153497,0.00153497
6,852.818,1.74007,1.15497,1.43625,0.82942,0.80179,0.86318,0.39797,1.84367,1.04986,1.43981,0.00150197,0.00150197,0.00150197
7,997.256,1.73325,1.13184,1.43262,0.84432,0.82744,0.88083,0.3964,1.88945,0.98656,1.48315,0.00146896,0.00146896,0.00146896
8,1136.48,1.71948,1.09119,1.42143,0.83496,0.82842,0.8767,0.40061,1.84342,0.93066,1.45469,0.00143595,0.00143595,0.00143595
9,1276.86,1.68982,1.05222,1.40724,0.83627,0.86567,0.89936,0.40909,1.82658,0.91575,1.45457,0.00140295,0.00140295,0.00140295
10,1419.84,1.68125,1.02798,1.39988,0.84434,0.83846,0.89439,0.39662,1.85201,0.93022,1.47318,0.00136994,0.00136994,0.00136994
11,1561.27,1.66527,1.01481,1.38837,0.85717,0.85391,0.91108,0.43608,1.74493,0.86475,1.40782,0.00133693,0.00133693,0.00133693
12,1709.87,1.65202,0.98402,1.3789,0.84944,0.86922,0.90136,0.43096,1.77189,0.85188,1.40797,0.00130393,0.00130393,0.00130393
13,1854.18,1.64781,0.97641,1.38208,0.85644,0.83182,0.89318,0.43504,1.73851,0.90236,1.39861,0.00127092,0.00127092,0.00127092
14,1997.7,1.63706,0.95424,1.37013,0.86661,0.85457,0.91086,0.44211,1.74661,0.83947,1.39012,0.00123791,0.00123791,0.00123791
15,2143.69,1.62311,0.93579,1.35903,0.86148,0.88168,0.9143,0.45535,1.71627,0.80221,1.37401,0.00120491,0.00120491,0.00120491
16,2287.57,1.6105,0.92367,1.35267,0.86787,0.88941,0.92172,0.45371,1.74211,0.77919,1.37799,0.0011719,0.0011719,0.0011719
17,2427.4,1.6079,0.91597,1.34878,0.86301,0.85505,0.91198,0.41448,1.826,0.8344,1.42797,0.00113889,0.00113889,0.00113889
18,2567.21,1.59248,0.89922,1.34303,0.86717,0.88074,0.93115,0.46128,1.71958,0.76705,1.373,0.00110589,0.00110589,0.00110589
19,2706.56,1.58144,0.88269,1.33268,0.87471,0.87563,0.92788,0.45081,1.74744,0.76632,1.39637,0.00107288,0.00107288,0.00107288
20,2845.1,1.57688,0.87022,1.32962,0.86738,0.89058,0.93233,0.46012,1.71513,0.74866,1.37195,0.00103987,0.00103987,0.00103987
21,2984.59,1.56307,0.86029,1.32169,0.8687,0.89711,0.93238,0.45604,1.7371,0.75292,1.3874,0.00100687,0.00100687,0.00100687
22,3124.28,1.56844,0.85319,1.32454,0.86368,0.8922,0.9297,0.456,1.72807,0.74547,1.38189,0.000973861,0.000973861,0.000973861
23,3264.8,1.54444,0.84707,1.31324,0.85927,0.89273,0.92746,0.44397,1.7607,0.74849,1.3978,0.000940855,0.000940855,0.000940855
24,3402.27,1.5359,0.82742,1.30543,0.88391,0.88344,0.93367,0.45845,1.71517,0.73744,1.36908,0.000907848,0.000907848,0.000907848
25,3544.97,1.52867,0.82163,1.30373,0.87981,0.86779,0.93068,0.45856,1.72659,0.74803,1.37593,0.000874842,0.000874842,0.000874842
26,3685.14,1.51938,0.81388,1.29837,0.8708,0.88802,0.9303,0.44547,1.75168,0.74737,1.38456,0.000841835,0.000841835,0.000841835
27,3826.48,1.50375,0.80521,1.2918,0.8686,0.89328,0.93306,0.44618,1.7689,0.74374,1.40063,0.000808828,0.000808828,0.000808828
28,3968.57,1.49482,0.79587,1.28765,0.88699,0.88895,0.93796,0.45842,1.72856,0.71999,1.39056,0.000775822,0.000775822,0.000775822
29,4108.07,1.49147,0.78939,1.28606,0.88241,0.88777,0.93632,0.44968,1.75392,0.73555,1.39349,0.000742815,0.000742815,0.000742815
30,4246.56,1.47349,0.77923,1.27244,0.87775,0.89938,0.93252,0.45508,1.74457,0.71806,1.40051,0.000709809,0.000709809,0.000709809
31,4385.42,1.4738,0.76956,1.27341,0.87985,0.8947,0.93568,0.46072,1.72515,0.70411,1.37927,0.000676802,0.000676802,0.000676802
32,4526.08,1.45973,0.76619,1.26524,0.88311,0.895,0.93701,0.45317,1.76091,0.71231,1.40476,0.000643795,0.000643795,0.000643795
33,4665.24,1.45693,0.75719,1.2595,0.8913,0.89252,0.93971,0.45951,1.73563,0.70487,1.38369,0.000610789,0.000610789,0.000610789
34,4804.8,1.44299,0.75225,1.25187,0.89006,0.88769,0.93609,0.45642,1.73659,0.71276,1.38104,0.000577782,0.000577782,0.000577782
35,4943.69,1.44261,0.74612,1.25217,0.88421,0.8941,0.9358,0.45497,1.74584,0.70755,1.38391,0.000544776,0.000544776,0.000544776
36,5081.46,1.42165,0.73775,1.24241,0.87903,0.9044,0.93934,0.4572,1.73811,0.6925,1.38338,0.000511769,0.000511769,0.000511769
37,5216.98,1.40776,0.72742,1.23363,0.88297,0.8922,0.93641,0.46094,1.72464,0.69284,1.37967,0.000478762,0.000478762,0.000478762
38,5354.73,1.41179,0.72546,1.23718,0.87892,0.89494,0.93671,0.45198,1.75031,0.71088,1.38605,0.000445756,0.000445756,0.000445756
39,5515.79,1.39484,0.71925,1.22943,0.88865,0.89097,0.93348,0.44898,1.75499,0.70539,1.38932,0.000412749,0.000412749,0.000412749
40,5690.18,1.3943,0.71325,1.22411,0.88314,0.88598,0.93319,0.45345,1.73037,0.70851,1.38101,0.000379743,0.000379743,0.000379743
41,5843.77,1.33613,0.60704,1.23481,0.8873,0.88552,0.93352,0.45024,1.75189,0.69878,1.39061,0.000346736,0.000346736,0.000346736
42,5990.23,1.31653,0.59607,1.22079,0.89535,0.88403,0.93562,0.45567,1.73855,0.69584,1.3884,0.000313729,0.000313729,0.000313729
43,6135.23,1.29688,0.58212,1.21303,0.89186,0.88428,0.93216,0.45336,1.74968,0.7064,1.39336,0.000280723,0.000280723,0.000280723
44,6285.24,1.28455,0.57669,1.20686,0.89333,0.88584,0.93359,0.4501,1.74598,0.70314,1.39617,0.000247716,0.000247716,0.000247716
45,6429.67,1.27542,0.57136,1.19638,0.89074,0.89354,0.93607,0.45301,1.74392,0.70134,1.39488,0.00021471,0.00021471,0.00021471
46,6563.12,1.26008,0.56597,1.19388,0.89562,0.88798,0.93228,0.44962,1.74868,0.70368,1.39345,0.000181703,0.000181703,0.000181703
47,6694.89,1.24683,0.55773,1.18062,0.89352,0.88373,0.93217,0.45354,1.73891,0.69896,1.3943,0.000148696,0.000148696,0.000148696
48,6825.29,1.23955,0.55488,1.18211,0.891,0.89093,0.933,0.45291,1.73773,0.69792,1.39176,0.00011569,0.00011569,0.00011569
49,6949.97,1.23147,0.55019,1.17687,0.88592,0.89214,0.93215,0.4524,1.73718,0.70075,1.39412,8.26832e-05,8.26832e-05,8.26832e-05
50,7072.62,1.22036,0.54212,1.16858,0.89678,0.88364,0.93256,0.44983,1.74262,0.70548,1.39766,4.96766e-05,4.96766e-05,4.96766e-05
