epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.31,1.58347,3.03603,1.42509,0.00852,0.48333,0.20886,0.12131,1.36852,3.47631,1.19495,0.000444578,0.000444578,0.000444578
2,20.5156,1.46855,1.82551,1.30365,0.98749,0.03449,0.11054,0.05576,1.53343,3.76986,1.48724,0.000902677,0.000902677,0.000902677
3,29.3802,1.49116,1.70439,1.32941,0.96529,0.11425,0.172,0.09296,1.63379,3.39305,1.52407,0.00134191,0.00134191,0.00134191
4,36.899,1.4644,1.56074,1.30424,0.89797,0.16129,0.1922,0.10353,1.51634,2.83738,1.38728,0.00134412,0.00134412,0.00134412
5,45.634,1.46907,1.50588,1.29479,0.88769,0.09522,0.12531,0.05555,1.83253,3.08415,1.69066,0.00131582,0.00131582,0.00131582
6,54.3555,1.48327,1.45804,1.31049,0.61393,0.16449,0.22275,0.11516,1.59973,2.71328,1.39402,0.00128753,0.00128753,0.00128753
7,62.3297,1.47425,1.44393,1.33041,0.94473,0.22446,0.26392,0.14743,1.53074,1.85425,1.32092,0.00125923,0.00125923,0.00125923
8,70.8976,1.44116,1.29035,1.30897,0.95603,0.26478,0.29475,0.1711,1.3835,1.50202,1.25292,0.00123094,0.00123094,0.00123094
9,78.9256,1.3918,1.27209,1.29554,0.93244,0.26344,0.28863,0.16885,1.40085,1.49005,1.26833,0.00120265,0.00120265,0.00120265
10,87.5974,1.40045,1.18166,1.26678,0.6473,0.32061,0.3083,0.18168,1.41325,1.38876,1.31,0.00117435,0.00117435,0.00117435
11,97.9243,1.37901,1.18083,1.26541,0.68705,0.31585,0.29853,0.15865,1.5494,1.37449,1.42111,0.00114606,0.00114606,0.00114606
12,105.152,1.39943,1.17122,1.27507,0.728,0.28479,0.31292,0.18084,1.44544,1.26218,1.33185,0.00111776,0.00111776,0.00111776
13,113.965,1.3525,1.08145,1.25565,0.74511,0.29373,0.30176,0.1847,1.27911,1.22528,1.20349,0.00108947,0.00108947,0.00108947
