epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,266.081,1.48669,1.57397,1.30204,0.89994,0.87124,0.91831,0.47106,1.68955,0.95419,1.33518,0.00997831,0.0033261,0.00997831,0.0033261,0.00997831,0.0033261,0.00997831,0.0033261
2,518.424,1.36601,0.94868,1.20414,0.90906,0.89531,0.94215,0.5549,1.38326,0.7732,1.18246,0.0195827,0.00652758,0.0195827,0.00652758,0.0195827,0.00652758,0.0195827,0.00652758
3,769.373,1.38873,0.93907,1.22728,0.87858,0.78243,0.86359,0.45382,1.64308,0.93657,1.33225,0.0287912,0.00959706,0.0287912,0.00959706,0.0287912,0.00959706,0.0287912,0.00959706
4,1017.46,1.40168,0.95891,1.2518,0.92051,0.86268,0.92871,0.56664,1.34604,0.71931,1.19123,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1266.42,1.35791,0.87822,1.22486,0.92987,0.87702,0.9345,0.52917,1.50428,0.71856,1.26972,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1514.19,1.33126,0.8411,1.21254,0.92297,0.89927,0.94753,0.56613,1.36982,0.66531,1.20385,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1760.37,1.31217,0.80029,1.20041,0.93665,0.89568,0.94906,0.59881,1.29905,0.61943,1.17232,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2007.34,1.29888,0.78637,1.18683,0.91833,0.91208,0.94817,0.59744,1.30326,0.60563,1.16648,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2254.77,1.27738,0.75929,1.18042,0.93464,0.90861,0.95545,0.59295,1.2878,0.60159,1.15962,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2503.22,1.2711,0.74778,1.18023,0.93339,0.90799,0.95443,0.60927,1.26657,0.59043,1.15746,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2752.07,1.2526,0.72582,1.17059,0.93326,0.91342,0.95716,0.61203,1.26506,0.58465,1.15791,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3007.33,1.24945,0.71184,1.16033,0.94115,0.91842,0.95802,0.62047,1.25397,0.56313,1.1509,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3256.47,1.236,0.7027,1.15298,0.94093,0.91189,0.95696,0.61497,1.23337,0.55525,1.14449,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3501.5,1.23265,0.69244,1.15256,0.93324,0.92237,0.96229,0.6303,1.20939,0.53804,1.13441,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3752.83,1.22613,0.68882,1.14877,0.94118,0.92159,0.96115,0.63576,1.19896,0.54163,1.11999,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4001.12,1.21394,0.67497,1.14049,0.94,0.91752,0.96264,0.6354,1.20723,0.53102,1.12294,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4249.66,1.21212,0.66603,1.14022,0.93672,0.9281,0.96258,0.63684,1.19619,0.52657,1.11951,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4499.59,1.20732,0.66223,1.13978,0.93985,0.92116,0.96242,0.64184,1.18729,0.51674,1.1187,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4746.56,1.19878,0.65547,1.13338,0.93921,0.92956,0.96495,0.63319,1.21598,0.52029,1.12806,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4992.67,1.19636,0.64731,1.13165,0.94202,0.92701,0.96421,0.64461,1.17463,0.49834,1.10507,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5242.27,1.18773,0.64146,1.12275,0.9441,0.93172,0.96628,0.63815,1.2067,0.5017,1.11536,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5489.35,1.18229,0.63501,1.12099,0.94702,0.92407,0.96699,0.64022,1.20653,0.4971,1.11758,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5738.71,1.17343,0.62928,1.11881,0.94347,0.92739,0.96669,0.64344,1.18872,0.48749,1.11133,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5983.94,1.1707,0.62353,1.11964,0.94465,0.92392,0.96695,0.642,1.19303,0.49375,1.11856,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6232.13,1.15995,0.61567,1.11688,0.94178,0.92861,0.96769,0.64856,1.17019,0.48872,1.10428,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6482.32,1.15768,0.60811,1.10667,0.94353,0.92739,0.96909,0.64228,1.19311,0.4905,1.10985,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,6731.75,1.15102,0.60011,1.10395,0.9454,0.92925,0.96569,0.64801,1.17226,0.48953,1.10358,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6979.3,1.14662,0.59792,1.10422,0.94629,0.93,0.96676,0.65319,1.15781,0.48038,1.09809,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7226.96,1.14578,0.59723,1.10309,0.94806,0.92556,0.96804,0.65011,1.17066,0.4758,1.10094,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,7473.78,1.13506,0.58919,1.09774,0.94318,0.92965,0.96609,0.64625,1.17556,0.47853,1.10521,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7722.14,1.13269,0.58928,1.09982,0.93971,0.93544,0.96703,0.63776,1.21141,0.48343,1.11716,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7972.73,1.12967,0.58213,1.09704,0.94981,0.93041,0.96497,0.64156,1.19718,0.47771,1.11053,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8219.71,1.11869,0.57264,1.08845,0.94193,0.93568,0.96678,0.64585,1.18471,0.4757,1.10754,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8468.33,1.11335,0.56709,1.08844,0.93722,0.93904,0.96612,0.64614,1.18457,0.47209,1.10704,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,8717.6,1.11003,0.56499,1.08633,0.94694,0.92875,0.96518,0.64588,1.18417,0.4718,1.11187,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,8968.38,1.10566,0.55914,1.0819,0.94626,0.9321,0.96608,0.6495,1.1684,0.46835,1.10012,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9216.05,1.10486,0.56034,1.08229,0.93763,0.94057,0.9665,0.64691,1.17411,0.46877,1.10514,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,9464.28,1.08973,0.55206,1.07726,0.95021,0.92962,0.96617,0.64789,1.17587,0.46542,1.10708,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,9710.67,1.0863,0.54688,1.07259,0.9367,0.94109,0.96737,0.64822,1.17297,0.46314,1.10303,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,9955.98,1.08381,0.5428,1.07397,0.94186,0.93845,0.96658,0.64795,1.17489,0.46415,1.10411,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10183.8,1.0572,0.46465,1.0761,0.93974,0.9346,0.96592,0.65024,1.169,0.46425,1.10257,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,10405.4,1.04233,0.45286,1.06861,0.94388,0.93403,0.96439,0.64918,1.17065,0.4654,1.10174,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,10628.7,1.03078,0.44838,1.06372,0.93817,0.9367,0.96416,0.64877,1.16874,0.46354,1.10204,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,10851.5,1.02255,0.44126,1.0593,0.94436,0.93046,0.96248,0.64876,1.16604,0.4646,1.10349,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11074.6,1.01618,0.43857,1.05666,0.95166,0.92735,0.96263,0.64731,1.17133,0.46534,1.10547,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,11298,1.00711,0.43036,1.04868,0.95235,0.92635,0.96265,0.64876,1.16943,0.46334,1.10329,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,11520.9,0.99954,0.42662,1.04785,0.95153,0.92487,0.96243,0.64765,1.17202,0.46366,1.10716,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,11744.1,0.99318,0.42107,1.04448,0.94856,0.92852,0.96262,0.64703,1.17025,0.46358,1.10653,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,11966.1,0.98655,0.41617,1.04065,0.94614,0.93184,0.96225,0.64709,1.17131,0.46415,1.10672,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,12189.4,0.97953,0.41369,1.03718,0.94668,0.93392,0.96232,0.64666,1.17147,0.46589,1.10692,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
